CANTOR;CÓD.;TÍTULO;INÍCIO DA LETRA;P;;
Rionegro e Solimões;9909;VIDA LOUCA;Eu não quero nem saber dessa vida lou;14E;;
Rionegro e Solimões;1148;MOÍDO DE PAIXÃO;Saudade tá no meu olhar;15C;;
Rionegro e Solimões;2747;ONDE ANDA VOCÊ;Hoje com os meus amigos o assunto foi;21D;;
Rionegro e Solimões;15310;O COWBOY VAI TE PEGAR;O cowboy vai te pegar o cowboy vai te;24D;;
Rionegro E Solimões;4151;DE SÃO PAULO A BELÉM;Deu um arroxo no peito eu fiquei;3F;;
Rionegro E Solimões;4261;A GENTE SE ENTREGA;Uma dose de saudade misturada...;4A;;
Rionegro E Solimões;4312;FALTA VOCÊ;O dia vai se acabando a tarde vai se afastando...;4B;;
Rionegro E Solimões;4375;SÓ LEMBRANÇAS;Pra quem vive de saudade...;4C;;
Rionegro E Solimões;4389;BATE O PÉ;Alô galera bate a mão e bate o pé...;4D;;
Rionegro E Solimões;4439;FRIO DA MADRUGADA;Sei que você quer voltar quem sou eu...;4EMP;;
Rionegro E Solimões;6024;ORVALHO DA SAUDADE;Saudade faz cair orvalho...;4G;;
Rionegro E Solimões;6089;BRETE DA SOLIDÃO;Hoje vou sair pro abraço quero...;5A;;
Rionegro E Solimões;6154;SÓ ALEGRIA;Hoje o meu coração tá a fim de...;5B;;
Rionegro E Solimões;6181;LENHA;Eu não sei dizer o que quer dizer…;5C;;
Rionegro E Solimões;6279;TÁ MENTINDO;Tá mentindo tá mentindo dizendo que…;5E;;
Rionegro E Solimões;6437;TÔ POR AÍ;Tô por aí…;6A;;
Rionegro E Solimões;6459;ESTRELA GUIA;Eu não sei…;6B;;
Rionegro E Solimões;6593;TEMPORAL DE LÁGRIMAS;Quando a saudade chega sofre…;6E;;
Rionegro E Solimões;6620;NA SOLA DA BOTA;É na sola da bota é na palma da mão…;6F;;
Rionegro E Solimões;6657;MADRUGADA TRISTE;Onde anda você...;7A;;
Rionegro E Solimões;6728;DE BEM COM A VIDA;De bem com a vida de bem com a vida...;7C;;
Rionegro E Solimões;7066;BALANÇOU SACUDIU;A galera gritou quando o brete se ;9B;;
Rionegro E Solimões;7125;EU DE CÁ VOCÊ DE LÁ;No final dessa história;9F;;
Rita Coolidge;19718;WE'RE ALL ALONE;Outside the rain begins and it may never end;INT09B;;
Rita de Cássia;1506;CAMA VAZIA;Não faço rodeios não meço palavras;18A;;
Rita Lee;7439;SAÚDE;Me cansei de lero-lero;10B;;
Rita Lee;7377;LUZ DEL FUEGO;Eu hoje represento a loucura;10D;;
Rita Lee;7642;MUTANTE;Juro que não vai doer se um dia eu ro;11C;;
Rita Lee;7558;ARROMBOU A FESTA;Ai ai meu Deus o que foi que aconteceu;11D;;
Rita Lee;9510;PEGA RAPAZ;Pega rapaz meu cabelo à la garçon;13A;;
Rita Lee;9535;SÓ DE VOCÊ;Será que a gente ainda será;13A;;
Rita Lee;9672;ESSE TAL DE ROQUE ENROW;Ela nem vem mais pra casa doutor;14C;;
Rita Lee;1206;CECY BOM (C'EST SI BON);Cecy bom ;16B;;
Rita Lee;3509;BAILA COMIGO;Baila comigo como se baila na tribo;1A;;
Rita Lee;3025;BANHO DE ESPUMA;Que tal nós dois numa banheira ;1C;;
Rita Lee;3041;CASO SÉRIO;Eu fico pensando em nós dois;1C;;
Rita Lee;3124;LANÇA PERFUME;Lança menina lança todo esse perfume;1C;;
Rita Lee;3061;DESCULPE O AUÊ;Desculpe o auê, eu não queria magoar;1D;;
Rita Lee;3103;FLAGRA;No escurinho do cinema;1D;;
Rita Lee;3135;MANIA DE VOCÊ;Meu bem você me dá água na boca;1D;;
Rita Lee;3201;OVELHA NEGRA;Levava uma vida sossegada;1D;;
Rita Lee;1862;AMBIÇÃO;Eu saí pra estrada e não tenho pra ;20B;;
Rita Lee;2815;REZA;Deus me proteja da sua inveja;22A;;
Rita Lee;15706;MENINO BONITO;Lindo e eu me sinto enfeitiçada correndo perigo;27B;;
Rita Lee;16010;LÁ VOU EU;Num apartamento perdido na cidade;29B;;
Rita Lee;3610;COISAS DA VIDA;Quando a lua apareceu;2A;;
Rita Lee;3674;NEM LUXO NEM LIXO;Como vai você? Assim como eu;2B;;
Rita Lee;4357;JARDINS DA BABILÔNIA;Suspenderam os jardins da Babilônia...;4C;;
Rita Lee;6022;O AMOR EM PEDAÇOS;Vivemos sob o mesmo teto...;4G;;
Rita Lee;6212;COR-DE-ROSA CHOQUE;As duas faces de Eva a Bela...;5D;;
Rita Lee;6270;PRA VOCÊ EU DIGO SIM;Se eu me apaixonar vê se não vai…;5E;;
Rita Lee;6364;COISAS DE CASAL;Tive sorte de encontrar você…;5H;;
Rita Lee;6523;AGORA SÓ FALTA VOCÊ;Um belo dia resolvi mudar…;6D;;
Rita Lee;6647;AMOR E SEXO;Amor é um livro sexo é esporte...;7A;;
Rita Lee;6756;TUDO VIRA BOSTA;O ovo frito o caviar e o cozido...;7C;;
Rita Lee;6784;MEIO FIO;Onde quer que eu vá...;7D;;
Rita Lee;3065;DOCE VAMPIRO;Venha me beijar meu doce vampiro;M;;
Rita Lee e Zélia Duncan;2734;PAGU;Mexo remexo na inquisição;21C;;
Rita Lee-Roberto De Carvalho;7308;BWANA;Bwana bwana me chama que eu vou;10A;;
Rita Ora;19212;HOW WE DO (PARTY);And party and bullshit and party and bul;INT06B;;
Rita Pavone;3701;DATEMI UN MARTELO (REMIX);Datemi um martelo che cosa ne vuoi fare?;2C;;
Rita Pavone;7006;CHE M'IMPORTA DEL MONDO;Che m'importa del mondo;INT01, ITA;;
Rita Pavone;7011;COME TE NON C'E NESSUNO;Come te non c'e nessuno tu sei l'unico al mondo;INT01, ITA;;
Rita Pavone;7015;FORTISSIMO;Pianissimo Te lo dico pianissimo;INT01, ITA;;
Rita Ribeiro;7609;FILHOS DA PRECISÃO;Pelas marginais;11D;;
Rita Ribeiro;16045;HÁ MULHERES;Há mulheres que se pintam de caulim;29C;;
Ritchie;7292;A VIDA TEM DESSAS COISAS;Perdi a hora mas encontrei você aqui;10B;;
Ritchie;7479;VÔO DE CORAÇÃO;No canto da sala o seu holograma;10D;;
Ritchie;9681;FALA;Eu não sei dizer nada por dizer;14B;;
Ritchie;3440;PELO INTERFONE;Chamo por você ninguém atende;1H;;
Ritchie;3434;MENINA VENENO;Meia-noite no meu quarto ela vai subir;1J;;
Ritchie;3442;POR QUE FUI TE AMAR ASSIM;Sei que te perdi dessa vez pra nunca;1K;;
Ritchie;2682;CASANOVA;Boa noite rainha como vai;21B;;
Ritchie;4058;TRANSAS;Tanto tempo faz que a gente transa;3C;;
Ritchie ;1257;LÁGRIMAS DEMAIS ;No seu mundo também bate o sol;16C;;
Rob Thomas;19130;LONELY NO MORE;Now it seems to me that you know just;INT05D;;
Robbie Williams;9052;SEXED UP;Loose lips on ships;INT01, A43;;
Robbie Williams;4859;ANGELS;I sit and wait...;INT01,USA2C;;
Robbie Williams;4866;BETTER MAN;Send someone to love me I need to rest...;INT01,USA2C;;
Robbie Williams;4958;ROAD TO MANDALAY;Save me from drowing in the sea...;INT01,USA2C;;
Robbie Williams;19249;FEEL;Come and hold my hand I wanna contact the living;INT06C;;
Robbie Williams;19304;ROCK DJ;Me with the floorshow kickin' with your torso;INT06D;;
Robbie Williams;19411;COME UNDONE;So unimpressed but so in awe;INT07C;;
Robbie Williams - Pet Shop Boys;19746;SHE'S MADONNA;Ohhh Madonna Madonna;INT09C;;
Robbie Williams & Nicole Kidman;9057;SOMETHIN' STUPID;I know I stand in line;INT01, A43;;
Robbie Williams ;9206;BEYOND THE SEA ; Somewhere beyond the sea somewhere waiti ;INT02, A44;;
Robbie Williams ;9241;ADVERTISING SPACE ; There's no earthly way of knowing ;INT02, A45;;
Robert Plant;9167;SEA OF LOVE;Do you remember when we met…;INT02, 8E;;
Roberta Campos;15635;VARRENDO A LUA;Você me deu me deu a paz e fez de mim;26D;;
Roberta Campos;15898;FELICIDADE;A felicidade vive atrás de mim;28C;;
Roberta Campos;16034;MINHA FELICIDADE;Quero ver o sol nascer de novo aqui pra despertar;29B;;
Roberta Campos;16303;ABRIGO;Ando tão só é bom porque sinto falta;31A;;
Roberta Campos e Nando Reis;2906;DE JANEIRO A JANEIRO;Não consigo olhar no fundo dos seus;22D;;
Roberta Flack;5901;FEEL LIKE MAKING LOVE;Strollin' in the park;INT03, USA3A;;
Roberta Flack;5986;THE CLOSER I GET TO YOU;The closer I get to you;INT03, USA3A;;
Roberta Flack;4530;KILLING ME SOFTLY WITH HIS SONG;Strumming my pain with his fingers;USAE;;
Roberta Flack & Peabo Bryson;4984;TONIGHT I CELEBRATE MY LOVE FOR YOU;Tonight I celebrate my love for you...;INT01, USA2B;;
Roberta Kelly;19360;ZODIACS;Oh Capricorns Leos Sagittarians Scorpions Virgos;INT07A;;
Roberta Miranda;7412;POBRE ESPERANÇA;Pobre coração vivendo de saudades;10B;;
Roberta Miranda;3344;SÃO TANTAS COISAS;São tantas coisas só nós sabemos;1E;;
Roberta Miranda;3521;EU TE AMO, TE AMO, TE AMO;Tanto tempo longe de você;1H;;
Roberta Miranda;3331;MEU DENGO;Vem cá meu dengo ai ai ai ai ai;1J;;
Roberta Miranda;15540;MARCAS;Hoje eu queria simplesmente não acreditar ;26B;;
Roberta Miranda;15752;SOL DA MINHA VIDA;Há momentos que eu me pego pensando;27C;;
Roberta Miranda;3977;SEMPRE MAIS;Sinto...você insiste em dizer;3A;;
Roberta Miranda;3982;A MULHER EM MIM;Em meu coração os amores vem e;3B;;
Roberta Miranda;4153;É AMOR DEMAIS;Oh amor;3F;;
Roberta Miranda;4181;AMANHÃ;Me prendeste numa redoma;3G;;
Roberta Miranda;4365;NO CORAÇÃO A PAIXÃO NA CABEÇA O CIÚME;Depois de tanta solidão mil vezes o meu coração...;4C;;
Roberta Miranda;6133;FAZ AMOR COMIGO;Teu sorriso iluminado fez revolução...;5B;;
Roberta Miranda;6165;ATRAÇÃO FATAL;Ai amor eu tô com medo dessa solidão…;5C;;
Roberta Miranda;6288;BOLERO NUNCA MAIS;Outra vez a saudade trouxe você…;5F;;
Roberta Miranda;6781;HISTÓRIA DO SERTÃO;O sertanejo quando pega na viola...;7D;;
Roberta Miranda;3360;DÓI;Dói sentir que o nosso amor aos poucos;M;;
Roberta Miranda;3396;VÁ COM DEUS;A cada dia que se passa;M;;
Roberta Sá;9607;AMOR BLUE;Um gato de olhos azuis olhando a lua;14C;;
Roberta Sá;1829;JANEIROS;É como o vento leve em seu lábio ass;20A;;
Roberta Sá;15057;PELAS TABELAS;Ando com minha cabeça já pelas tabelas;23B;;
Roberta Sá;15092;SAMBA DE AMOR E ÓDIO;Não há abrigo conta o mal;23C;;
Roberta Sá;15121;GIRANDO NA RENDA;É no samba de roda eu vou;23D;;
Roberta Sá;15868;SAMBA DE UM MINUTO;Devagar esquece o tempo lá de fora;28B;;
Roberta Sá;16036;PAVILHÃO DE ESPELHOS;Não eu não me arrependi de nada;29B;;
Roberta Sá;6683;A VIZINHA DO LADO;A vizinha quando passa com seu...;7B;;
Roberta Sá e Lenine;1555;FOGO E GASOLINA;Você é um avião eu sou um edifício;18B;;
Roberto Carlos;3309;CAFÉ DA MANHÃ;Amanhã de manhã vou pedir o café;1A;;
Roberto Carlos;3074;EMOÇÕES;Quando eu estou aqui;1D;;
Roberto Carlos;3336;O PROGRESSO;Eu queria poder afagar uma fera;1E;;
Roberto Carlos;3597;TEM COISAS QUE A GENTE NÃO TIRA DO CORAÇÃO;Que bom te encontrar;1E;;
Roberto Carlos;3164;MULHER PEQUENA;Quando uma mulher pequena;1F;;
Roberto Carlos;3200;OUTRA VEZ;Você foi o maior dos meus casos;1F;;
Roberto Carlos;3580;MULHER DE 40;Sorriso bonito olhar de quem sabe;1F;;
Roberto Carlos;3063;DETALHES;Não adianta nem tentar;1FMP;;
Roberto Carlos;3080;ESQUEÇA (FORGET HIM);Esqueça se ele não te ama;1G;;
Roberto Carlos;3403;AMIGOS DO PEITO;Você, meu amigo de fé, meu irmão;1G;;
Roberto Carlos;3012;AMADA AMANTE;Esse amor demais antigo;1H;;
Roberto Carlos;3087;EU E ELA;Um grande amor começa agora;1H;;
Roberto Carlos;3315;CORAÇÃO;Com o coração na voz e o grito mais feroz;1J;;
Roberto Carlos;3050;COISA BONITA;Amo você assim;1K;;
Roberto Carlos;3338;OS SEUS BOTÕES;Os botões da blusa que você usava;1K;;
Roberto Carlos;1815;DE QUE VALE TUDO ISSO;De que vale tudo isso se você não es;20A;;
Roberto Carlos;1816;É PAPO FIRME;Essa garota é papo firme;20A;;
Roberto Carlos;1819;VOCÊ DEIXOU ALGUÉM A ESPERAR;Você deixou alguém a esperar;20A;;
Roberto Carlos;1823;AQUELE BEIJO QUE TE DEI;Aquele beijo que te dei;20A;;
Roberto Carlos;1836;FOLHAS DE OUTONO ;As folhas caem o inverno já chegou;20A;;
Roberto Carlos;1850;PAREI, OLHEI ;Parou olhou;20B;;
Roberto Carlos;1852;É TEMPO DE AMAR ;Nunca mais me fale assim;20B;;
Roberto Carlos;1859;MEU QUERIDO, MEU VELHO, MEU AMIGO;Esses seus cabelos brancos bonitos;20B;;
Roberto Carlos;1870;O CÔNCAVO E O CONVEXO;Nosso amor é demais;20B;;
Roberto Carlos;1877;SÓ VOU GOSTAR DE QUEM GOSTA DE MIM;De hoje em diante;20B;;
Roberto Carlos;1883;BRUCUTU;Olha o Brucutu Brucutu;20C;;
Roberto Carlos;1889;MEXERICO DA CANDINHA;A Candinha vive a falar de mim em tu;20C;;
Roberto Carlos;1892;COMO É BOM SABER;Ao contrário do que eu esperava;20C;;
Roberto Carlos;1904;HISTÓRIA DE UM HOMEM MAU;Eu vou contar pra todos;20C;;
Roberto Carlos;1917;OS SETE CABELUDOS;Tudo começou quando Lili foi à esquina;20C;;
Roberto Carlos;1922;NOITE DE TERROR ;Fazia noite fria eu logo fui dormir;20D;;
Roberto Carlos;1925;O PORTÃO;Eu cheguei em frente ao portão;20D;;
Roberto Carlos;1936;O SÓSIA;Tudo começou quando certo dia;20D;;
Roberto Carlos;1938;ROSINHA ;Oh Rosa Rosinha;20D;;
Roberto Carlos;1975;DESABAFO;Por que me arrasto aos seus pés;21A;;
Roberto Carlos;1982;A NAMORADA;Você;21A;;
Roberto Carlos;2669;EU QUERO APENAS;Eu quero apenas olhar os campos;21B;;
Roberto Carlos;2691;LUZ DIVINA;Luz que me ilumina o caminho;21B;;
Roberto Carlos;2721;ESPERANDO VOCÊ;Não sei por que acreditei;21C;;
Roberto Carlos;2762;NÃO SE ESQUEÇA DE MIM;Onde você estiver não se esqueça;21D;;
Roberto Carlos;2763;NINGUÉM VAI TIRAR VOCÊ DE MIM;Não me canso de falar que te amo;21D;;
Roberto Carlos;2743;NOSSO AMOR;Nosso amor não é possível terminar;21D;;
Roberto Carlos;2852;ILEGAL, IMORAL OU ENGORDA;Vivo condenado a fazer o que não;22B;;
Roberto Carlos;2860;SE VOCÊ PENSA;Se você pensa que vai fazer de mim;22B;;
Roberto Carlos;2861;COMO DOIS É DOIS;Quando você me ouvir cantar venha não creia;22C;;
Roberto Carlos;2865;ESSE CARA SOU EU;O cara que pensa em você toda hora;22C;;
Roberto Carlos;2896;ROTINA;O sol ainda não chegou e o relógio há pouco;22C;;
Roberto Carlos;2901;A MENINA E O POETA;Virgem menina morena;22D;;
Roberto Carlos;2902;AS BALEIAS;Não é possível que você suporte a;22D;;
Roberto Carlos;15012;FURDÚNCIO;Onde ela vai eu vou onde ela está eu estou;23A;;
Roberto Carlos;15185;PELO AVESSO;E você reservada tão quieta não fala;24A;;
Roberto Carlos;15233;JOGO DE DAMAS;Eu sei da sua vida e do seu passado;24B;;
Roberto Carlos;15237;O HOMEM;Um certo dia um homem esteve aqui;24B;;
Roberto Carlos;15238;O HOMEM BOM;Vai como um vento solto numa campina;24B;;
Roberto Carlos;15242;A MULHER QUE EU AMO;A mulher que eu amo tem a pele morena;24C;;
Roberto Carlos;15267;PROMESSA;Amanhã estarei tão distante de ti;24C;;
Roberto Carlos;15309;O AMOR É MAIS;Pra saber o que é o amor é preciso amar;24D;;
Roberto Carlos;15492;MEU MENINO JESUS;Ó meu Menino Jesus na noite desse Natal;26A;;
Roberto Carlos;15525;CARTAS DE AMOR (LOVE LETTERS);Ontem amor eu reli as cartas que te escrevi;26B;;
Roberto Carlos;15527;COMO AS ONDAS DO MAR;Você foi a paixão que esqueci de esquecer;26B;;
Roberto Carlos;15564;ANA;Todo tempo que eu vivi procurando o meu;26C;;
Roberto Carlos;15609;EU AMO DEMAIS;Agora não vou mais viver como eu vivia a;26D;;
Roberto Carlos;15614;NÃO É PAPO PRA MIM;Se em festa de família o assunto é;26D;;
Roberto Carlos;15669;O DIVÃ;Relembro a casa com varanda;27A;;
Roberto Carlos;15681;A CIGANA;Na distância vi seu vulto desaparecer;27B;;
Roberto Carlos;15745;QUANDO EU QUERO FALAR COM DEUS;Quando eu quero falar com Deus eu apenas;27C;;
Roberto Carlos;15757;TUDO PARA;Quando a gente fecha a porta tanta coisa ;27C;;
Roberto Carlos;15768;COSTUMES;Eu pensei que pudesse esquecer;27D;;
Roberto Carlos;15780;O SHOW JÁ TERMINOU;O show já terminou vamos voltar a realidade;27D;;
Roberto Carlos;15783;PRECISO LHE ENCONTRAR;Quando olho em minha volta onde quer que;27D;;
Roberto Carlos;15799;VOCÊ NÃO SABE;Você não sabe quanta coisa eu faria;27D;;
Roberto Carlos;15831;O MOÇO VELHO;Eu sou um livro aberto sem histórias;28A;;
Roberto Carlos;15924;EU TE AMO, TE AMO, TE AMO;Tanto tempo longe de você;28D;;
Roberto Carlos;15983;À JANELA;Da janela o horizonte a liberdade de uma estrada;29A;;
Roberto Carlos;15962;AMOR PERFEITO;Fecho os olhos pra não ver passar o tempo;29A;;
Roberto Carlos;16023;A MONTANHA;Eu vou seguir uma luz lá no alto eu vou ouvir;29B;;
Roberto Carlos;3700;COMO VAI VOCÊ ?;Como vai você eu preciso saber da sua vida;2C;;
Roberto Carlos;3751;EU PRECISO DE VOCÊ;Eu preciso de você;2D;;
Roberto Carlos;3825;AMANTE À MODA ANTIGA;Eu sou aquele amante à moda antiga;2F;;
Roberto Carlos;3881;LOBO MAU;Eu sou do tipo que não gosta;2G;;
Roberto Carlos;3905;AS CANÇÕES QUE VOCÊ FEZ PRA MIM;Hoje eu ouço as canções que você;2H;;
Roberto Carlos;3913;FALANDO SÉRIO;Falando sério;2H;;
Roberto Carlos;3930;QUANDO;Quando você se separou de mim;2H;;
Roberto Carlos;3985;ABRAZAME SÍ;Abrazame así;3B;;
Roberto Carlos;3994;CORRO DEMAIS;Meu bem qualquer instante que eu;3B;;
Roberto Carlos;3999;FERA FERIDA;Acabei com tudo, escapei com vida;3B;;
Roberto Carlos;4087;NOSSA SENHORA;Cubra-me com seu manto de amor;3D;;
Roberto Carlos;4100;VOCÊ NÃO SERVE PRA MIM;Não fique triste não se zangue;3D;;
Roberto Carlos;4139;VÊ SE VOLTA PRA MIM;Deixa que eu me acerte com;3E;;
Roberto Carlos;4147;CAMINHONEIRO;Todo dia quando eu pego a estrada;3F;;
Roberto Carlos;4149;CAVALGADA;Vou cavalgar por toda a noite;3F;;
Roberto Carlos;4209;PROPOSTA;Eu te proponho nós nos amarmos;3G;;
Roberto Carlos;4270;EU TE DAREI O CÉU;Eu te darei o céu meu bem...;4A;;
Roberto Carlos;4320;LADY LAURA;Tenho às vezes vontade de ser...;4B;;
Roberto Carlos;4352;FORÇA ESTRANHA;Eu vi um menino correndo eu vi o tempo...;4C;;
Roberto Carlos;4402;NAMORADINHA DE UM AMIGO MEU;Estou amando loucamente...;4D;;
Roberto Carlos;4421;A GUERRA DOS MENINOS;Hoje eu tive um sonho que foi o mais...;4E;;
Roberto Carlos;4432;DE TANTO AMOR;Ah! Eu vim aqui amor só pra me...;4E;;
Roberto Carlos;4469;CUSTE O QUE CUSTAR;Já não sei dizer se sou feliz ou não...;4F;;
Roberto Carlos;6023;O CALHAMBEQUE;Essa é uma das muitas...;4G;;
Roberto Carlos;6045;AMOR SEM LIMITE;Quando a gente ama alguém de verdade...;4H;;
Roberto Carlos;6085;AS CURVAS DA ESTRADA DE SANTOS;Se você pretende saber quem eu sou...;5A;;
Roberto Carlos;6188;O GRANDE AMOR DA MINHA VIDA;A primeira vez em que eu te vi…;5C;;
Roberto Carlos;6209;CAMA E MESA;Eu quero ser sua canção...;5D;;
Roberto Carlos;6316;TODOS ESTÃO SURDOS;"La larara… ""Desde o começo…";5F;;
Roberto Carlos;6329;E POR ISSO ESTOU AQUI;Olha dentro dos meus olhos...;5G;;
Roberto Carlos;6387;SUA ESTUPIDEZ;Meu bem meu bem você tem que…;5H;;
Roberto Carlos;6425;NEGRO GATO;Eu sou o negro gato de arrepiar…;6A;;
Roberto Carlos;7042;A GAROTA DO BAILE;Quem não acreditar;9B;;
Roberto Carlos;7061;ARRASTA UMA CADEIRA;Amigo arrasta uma cadeira;9B;;
Roberto Carlos;7130;EU SOU TERRÍVEL;Eu sou terrível e é bom parar;9C;;
Roberto Carlos;7208;PAREI NA CONTRAMÃO;Vinha voando no meu carro;9D;;
Roberto Carlos;7209;PEGA LADRÃO;Estava com um broto no portão;9E;;
Roberto Carlos;7004;CANZONE PER TE;La festa appena cominciata;INT01, ITA;;
Roberto Carlos;7039;UN GATTO NEL BLU;Quando era bambino che allegria;INT01, ITA;;
Roberto Carlos;3235;QUERO QUE VÁ TUDO PRO INFERNO;De que vale o céu azul e o sol ;M;;
Roberto Carlos;3314;COMO É GRANDE O MEU AMOR POR VOCÊ;Eu tenho tanto pra lhe falar;M;;
Roberto Carlos ;7126;EU DISSE ADEUS;Eu disse adeus;9D;;
Roberto Carlos E Balão Mágico;7116;É TÃO LINDO;Se tem bigodes de foca nariz de taman;9C;;
Roberto Leal;9437;DEIXA VIR O NATAL;O ano inteiro o mundo é cruel;13C;;
Roberto Leal;1304;O IMIGRANTE;Tantos sonhos são desfeitos;16D;;
Roberto Leal;3743;CASA PORTUGUESA;Numa casa portuguesa fica bem;2D;;
Roberto Leal ;1091;BATE O PÉ ;Ai bate o pé bate o pé bate o pé;15B;;
Roberto Leal ;1099;VERDE VINHO ;Ninguém na rua na noite fria;15B;;
Roberto Livi;7997;MARIA ISABEL;A praia estava deserta o sol surgia;12B;;
Roberto Muller;2704;ENTRE ESPUMAS;Uma noite sentou-se à minha mesa;21C;;
Roberto Ribeiro;9551;TODO MENINO É UM REI;Todo menino é um rei;13B;;
Roberto Trevisan;6879;UM MATUTO EM NEW YORK;Sou um matuto mas sou matuto de luxo;7F;;
Robin S;19747;SHOW ME LOVE;Ahhh woh woh woh ohhh yeah yeah;INT09C;;
Robinson Monteiro;6307;PRA SEMPRE EU VOU TE AMAR;Sei que nada vai mudar…;5F;;
Rockwell;4588;KNIFE;You touched my life;USAA;;
Rod Stewart;4840;SAILING;I am sailing I am sailing….;INT01, A41;;
Rod Stewart;9173;SOME GUYS HAVE ALL THE LUCK;Some guys have all the luck…;INT02, 8E;;
Rod Stewart;5915;I DON'T WANT TO TALK ABOUT IT;I can tell by your eyes;INT03, USA3D;;
Rod Stewart;19378;FOREVER YOUNG;May the good Lord be with you;INT07B;;
Rod Stewart;19509;MY HEART CAN'T TELL YOU NO;I don't want you to come round here no more;INT08A;;
Rodrigo Faro;4484;NÃO DIGA NADA;Olha pra mim não diga nada...;4F;;
Rodrigo Santos;1389;NÃO VÁ;Tenho saudades da nossa conversa;17B;;
Rodrigo Snatos;9507;PÃO-DURO;Chegou o pão-duro;13B;;
Rodriguinho;9858;PALAVRA DE AMIGO;Quantas vezes eu vou ter que te falar;14D;;
Rodriguinho;2796;LUZ NA ESCURIDÃO;Por que será que toda vez que eu te ve;22A;;
Rodriguinho e Nana Damasceno;1222;O AMOR VENCEU;Conto os dias conto as horas;16B;;
Rodriguinho e Thiaguinho ;1078;FATALMENTE ;Passei a vida inteira;15A;;
Roger e Robson;1219;LINDA MENINA;Linda... menina linda;16B;;
Roger e Robson-Eduardo Costa;1680;QUÍMICA;Vai encarar ou me deixar aqui falando;19A;;
Rolando Boldrin;9473;MANHÃ BONITA;Manhã bonita apaixonada vem pra fest;13C;;
Rolling Stones;4908;(I CAN'T GET NO) SATISFACTION;I can't get no satisfaction...;INT01, USA2A;;
Rolling Stones;4960;RUBY TUESDAY;She would never say where she came from...;INT01, USA2A;;
Rolling Stones;4860;ANGIE;Angie, Angie...;INT01, USA2B;;
Rolling Stones;4927;JUMPIN' JACK FLASH;Wah-choo! ...;INT01,USA2C;;
Rolling Stones;4991;WILD HORSES;Childhood living is easy to do...;INT01,USA2C;;
Rolling Stones;2613;LADY JANE;My sweet Lady Jane;INT04C;;
Rolling Stones;4567;AS TEARS GO BY;It is the evening of the day;USAD;;
Ronaldo Bezerra;2999;TU ÉS SANTO;Tu és Santo poderoso Tu és digno;EVAN04D;;
Ronaldo E Os Barcelos;3954;FELIZ ANIVERSÁRIO;Feliz aniversário meu amor, espero;3A;;
Ronaldo Resedá;15743;PLUMAS E PAETÊS;Você sabe você sabe qual é a ultima moda;27C;;
Ronaldo Resedá;6380;MARROM GLACÊ;Champagne no gelo salgados e doces…;5H;;
Ronaldo Resedá;6824;KITCH ZONA SUL;A vida que eu imaginei;7E;;
Ronnie Von;9405;CACHO DE UVA;Assim como a brisa;13A;;
Ronnie Von;1360;DIA DE FOLGA;Eu almoço sozinho e você ainda na c;17A;;
Ronnie Von;1370;TEMPO DE ACORDAR;Eu acordei e notei;17B;;
Ronnie Von;2711;MEU BEM;Se você quiser ouvir então a minha história;21C;;
Ronnie Von;15566;CAVALEIRO DE ARUANDA;Quem é o cavaleiro que vem lá de Aruanda;26C;;
Ronnie Von;15616;O CARPINTEIRO (IF I WERE A CARPENTER);Num conto de fadas um carpinteiro sozinho;26D;;
